Player ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
66,34,29,31.7,3.9,10.0,0.39,1.7,5.1,0.328,2.2,4.9,0.455,0.474,2.5,2.9,0.866,0.7,2.7,3.4,1.6,1.4,0.2,1.5,2.2,12.0
67,33,15,18.9,2.7,4.8,0.57,0.0,0.2,0.0,2.7,4.6,0.596,0.57,1.4,2.3,0.618,1.6,3.4,5.0,0.8,0.7,1.1,0.9,1.9,6.9
68,3,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
69,36,24,24.0,2.7,5.8,0.462,1.0,2.8,0.35,1.7,3.0,0.565,0.546,2.0,2.5,0.802,0.7,2.6,3.3,1.0,0.6,0.5,1.1,1.9,8.3
70,2,0,1.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,34,13,20.9,2.6,4.4,0.6,0.7,1.9,0.364,1.9,2.5,0.786,0.68,0.8,1.5,0.529,1.5,3.9,5.4,0.7,0.8,1.1,1.0,2.2,6.8
72,35,19,19.1,3.0,6.3,0.473,1.3,3.6,0.376,1.7,2.8,0.598,0.579,1.2,1.7,0.724,0.8,3.5,4.3,0.8,0.7,1.9,1.4,2.0,8.5
73,13,0,2.0,0.2,0.2,1.0,0.0,0.0,,0.2,0.2,1.0,1.0,0.2,0.3,0.75,0.1,0.1,0.2,0.2,0.1,0.0,0.2,0.2,0.7
74,8,0,1.3,0.1,0.3,0.5,0.0,0.0,,0.1,0.3,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3
75,38,34,25.6,3.8,8.5,0.448,1.6,4.1,0.381,2.3,4.4,0.509,0.539,3.1,3.5,0.888,0.5,2.5,3.0,2.7,1.2,0.6,1.4,2.7,12.3
76,38,3,23.5,3.7,6.5,0.567,0.4,1.3,0.294,3.3,5.2,0.638,0.597,1.3,1.9,0.704,1.6,3.3,4.9,1.3,0.7,0.9,1.1,2.8,9.1
77,37,4,10.0,0.4,0.9,0.441,0.1,0.4,0.188,0.3,0.5,0.667,0.485,0.2,0.2,0.667,0.5,1.0,1.5,0.4,0.2,0.1,0.3,1.2,1.1
78,37,37,28.1,3.3,7.5,0.442,1.8,4.3,0.411,1.5,3.2,0.483,0.56,2.6,2.9,0.896,0.4,1.6,2.0,2.6,0.6,0.2,1.4,1.5,10.9
79,38,38,20.3,2.2,3.2,0.7,0.0,0.1,0.5,2.2,3.1,0.703,0.704,0.6,1.8,0.324,2.5,2.6,5.1,1.6,0.8,1.4,0.6,2.6,5.0
80,15,2,9.4,0.4,1.9,0.214,0.3,1.5,0.217,0.1,0.3,0.2,0.304,0.3,0.3,0.8,0.3,0.9,1.2,0.9,0.3,0.0,0.2,0.2,1.4
81,27,0,6.0,0.6,1.4,0.436,0.1,0.5,0.154,0.6,1.0,0.577,0.462,0.1,0.1,0.75,0.7,0.3,1.0,0.4,0.2,0.1,0.1,0.9,1.4
82,21,0,9.1,1.4,2.7,0.536,0.4,1.0,0.409,1.0,1.6,0.618,0.616,1.0,1.4,0.667,0.4,0.8,1.1,0.1,0.3,0.2,0.3,0.9,4.2
83,36,35,30.2,7.3,14.3,0.51,0.7,2.5,0.278,6.6,11.8,0.559,0.534,3.3,5.6,0.587,3.7,7.1,10.8,2.9,0.9,2.1,1.6,2.1,18.6
84,38,36,28.2,3.7,9.1,0.406,2.3,6.1,0.378,1.4,3.0,0.465,0.533,1.6,1.7,0.909,0.3,3.3,3.7,1.1,1.0,0.4,0.9,2.2,11.3
85,11,0,1.3,0.3,0.5,0.6,0.1,0.2,0.5,0.2,0.3,0.667,0.7,0.0,0.0,,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.0,0.6
86,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,38,1,22.9,3.8,9.1,0.421,1.8,5.0,0.366,2.0,4.1,0.487,0.522,2.1,2.6,0.804,0.2,2.0,2.2,3.0,0.9,0.2,1.6,2.4,11.6
88,9,0,3.3,0.2,0.4,0.5,0.2,0.4,0.5,0.0,0.0,,0.75,0.2,0.2,1.0,0.0,0.4,0.4,0.0,0.1,0.0,0.1,0.1,0.9
89,32,10,24.6,2.1,5.3,0.402,1.1,3.2,0.353,1.0,2.1,0.478,0.509,1.4,2.1,0.672,0.6,1.6,2.2,4.2,0.7,0.1,1.6,1.8,6.8
90,36,0,16.7,2.7,5.9,0.453,1.1,3.0,0.38,1.5,2.9,0.529,0.55,1.0,1.3,0.783,0.3,1.7,2.0,1.4,0.4,0.0,0.9,1.4,7.5
91,33,33,27.5,3.8,9.3,0.412,1.3,4.7,0.273,2.5,4.6,0.553,0.48,1.7,2.5,0.695,0.3,3.6,3.9,5.5,1.2,0.4,2.9,1.2,10.6
92,21,0,5.2,0.4,1.2,0.346,0.1,0.4,0.222,0.3,0.8,0.412,0.385,0.2,0.3,0.714,0.2,0.4,0.6,0.7,0.3,0.0,0.3,0.7,1.2
93,36,1,17.3,3.4,5.4,0.628,0.0,0.1,0.25,3.4,5.3,0.635,0.63,1.8,2.2,0.823,1.9,3.5,5.4,1.3,0.3,0.4,1.3,1.4,8.7
94,4,0,1.5,0.3,1.0,0.25,0.3,1.0,0.25,0.0,0.0,,0.375,0.3,0.5,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0
95,31,15,17.4,2.5,6.0,0.411,1.4,4.0,0.35,1.1,2.0,0.532,0.527,0.9,1.5,0.587,0.6,1.5,2.2,0.7,0.6,0.4,0.8,1.2,7.2
96,35,35,21.0,3.3,4.9,0.673,0.0,0.0,,3.3,4.9,0.673,0.673,0.9,2.1,0.411,2.9,5.0,7.9,0.7,0.7,1.2,0.8,2.3,7.4
97,34,22,19.3,2.0,4.1,0.486,0.9,2.1,0.397,1.1,1.9,0.585,0.591,1.1,1.4,0.75,0.7,1.4,2.1,0.7,0.7,0.2,0.7,1.6,5.9
98,8,0,1.6,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,,0.4,0.5,0.9,0.1,0.0,0.1,0.0,0.1,0.0
99,30,0,11.1,1.2,3.1,0.38,0.5,1.9,0.268,0.7,1.2,0.556,0.462,0.7,0.9,0.815,0.3,1.4,1.7,0.4,0.3,0.1,0.6,1.0,3.6
100,35,35,29.5,5.8,11.1,0.518,2.3,5.2,0.432,3.5,5.9,0.594,0.619,2.7,3.3,0.835,1.4,3.1,4.5,1.6,1.2,0.4,1.3,1.9,16.5
