Player,#,Class,Pos,Height,Weight,Hometown,High School,Team
Tyler McGhie,13,SR,G,6-5,195.0,"Denton, TX",Guyer HS,UC-San Diego
Hayden Gray,3,SR,G,6-4,190.0,"San Diego, CA",Santa Fe Christian (CA),UC-San Diego
Nordin Kapic,24,JR,F,6-8,245.0,"Vienna, Austria",,UC-San Diego
Justin Rochelin,5,SO,G,6-5,190.0,"Encino, CA",Heritage Christian (CA),UC-San Diego
Chris Howell,8,JR,G,6-6,185.0,"Sandiego, CA",Torrey Pines (CA),UC-San Diego
Aidan Burke,20,SO,G,6-3,190.0,"Los Gatos, CA",Archbishop Mitty (CA); Phillips Exeter (NH),UC-San Diego
Maximo Milovich,33,SR,C,6-8,213.0,"Buenos Aires, Argentina",Colegio Carmen Arriola de MarÃ­n,UC-San Diego
Cade Pendleton,4,JR,F,6-10,210.0,"Chattanooga, TN",East Hamilton (TN),UC-San Diego
Jasen Brooks,11,SO,G,6-0,195.0,"Cleveland, TN",Cleveland (TN),UC-San Diego
Ryder Elisaldez,1,FR,G,6-3,175.0,"Las Vegas, NV",Bishop Gorman (NV),UC-San Diego
Yaqub Mir,22,SO,G,6-2,175.0,"Granite Bay, CA",Granite Bay (CA),UC-San Diego
Milos Vicentic,31,SR,F,6-7,220.0,"Belgrade, Serbia",OKK Belgrade (Serbia),UC-San Diego
Tyler Bilodeau,34,JR,F,6-9,220.0,"Kennewick, WA",Kamiakin (WA),UCLA
Eric Dailey Jr.,3,SO,F,6-8,230.0,"Palmetto, FL",IMG Academy (FL),UCLA
Sebastian Mack,12,SO,G,6-3,200.0,"Chicago, IL",Durango (NV); Coronado (NV),UCLA
Skyy Clark,55,JR,G,6-3,200.0,"Los Angeles, CA",Heritage Christian (CA); Montverde Academy (FL),UCLA
Kobe Johnson,0,SR,F,6-5,170.0,"Milwaukee, WI",Nicolet (WI),UCLA
Dylan Andrews,2,JR,G,6-2,170.0,"Gardena, CA",Windward School (CA); AZ Compass Prep (AZ),UCLA
Aday Mara,15,SO,C,7-3,240.0,"Zaragoza, Spain",IES El Picarral (Spain),UCLA
Lazar Stefanovic,10,SR,G,6-7,186.0,"Belgrade, Serbia",Sportska gimnazija (Serbia),UCLA
Trent Perry,1,FR,G,6-4,180.0,"West Covina, CA",Harvard-Westlake School (CA),UCLA
William Kyle III,24,JR,F,6-9,215.0,"Bellevue, NE",Bellevue West (NE),UCLA
