Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team
,Team Totals,,37,37,201.4,28.6,60.3,0.475,8.0,22.4,0.356,20.6,37.9,0.545,0.541,15.5,20.9,0.741,9.8,26.9,36.7,14.8,6.0,3.6,10.7,16.9,80.7,,UNC
1.0,Donovan Newby,G,35,35,32.1,4.1,10.6,0.385,2.2,6.2,0.353,1.9,4.4,0.431,0.489,4.0,4.5,0.892,0.5,2.2,2.7,3.5,1.2,0.1,1.5,2.3,14.4,,UNC Wilmington
2.0,Khamari McGriff,F,34,12,19.3,4.8,7.4,0.651,0.1,0.1,0.667,4.8,7.3,0.651,0.655,1.8,2.6,0.693,1.6,2.4,4.0,0.7,0.4,1.1,1.0,2.1,11.5,,UNC Wilmington
3.0,Harlan Obioha,C,35,23,20.0,3.3,5.2,0.639,0.0,0.1,0.0,3.3,5.1,0.654,0.639,2.5,4.0,0.624,2.5,3.5,6.0,0.9,0.5,1.2,1.5,2.5,9.2,,UNC Wilmington
4.0,Bo Montgomery,G,35,18,22.5,3.3,7.5,0.445,1.1,3.1,0.361,2.2,4.4,0.503,0.519,1.3,1.7,0.797,1.0,2.9,3.9,2.1,0.8,0.3,1.1,2.3,9.1,,UNC Wilmington
5.0,Elijah Jamison,G,4,0,15.0,2.8,7.0,0.393,0.8,1.5,0.5,2.0,5.5,0.364,0.446,2.8,4.5,0.611,0.5,0.5,1.0,1.8,0.3,0.3,1.5,1.0,9.0,,UNC Wilmington
6.0,Sean Moore,G,35,28,24.1,3.4,7.8,0.434,1.1,3.5,0.303,2.3,4.3,0.54,0.502,1.0,1.5,0.642,1.5,5.0,6.5,1.3,1.5,0.4,1.5,1.8,8.8,,UNC Wilmington
7.0,Noah Ross,G,31,9,24.0,3.0,6.3,0.485,0.4,1.6,0.235,2.6,4.6,0.573,0.515,1.7,2.2,0.754,1.5,3.5,5.1,1.6,0.5,0.1,0.9,1.9,8.1,,UNC Wilmington
8.0,Nolan Hodge,G,34,15,23.5,2.6,5.8,0.447,0.9,2.5,0.372,1.6,3.3,0.505,0.528,1.5,1.9,0.785,1.5,2.3,3.9,1.3,0.5,0.1,1.1,1.7,7.6,,UNC Wilmington
9.0,Jake Murphy,G,2,0,10.5,3.0,5.0,0.6,1.5,3.0,0.5,1.5,2.0,0.75,0.75,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,1.0,2.0,7.5,,UNC Wilmington
10.0,Josh Corbin,G,21,13,23.5,2.1,6.4,0.336,1.8,5.5,0.319,0.4,0.9,0.444,0.474,0.9,1.0,0.905,0.4,1.7,2.1,2.2,0.3,0.0,0.8,1.0,7.0,,UNC Wilmington
11.0,Joshua Williams,G,35,22,21.7,1.7,4.0,0.414,0.3,0.9,0.29,1.4,3.1,0.45,0.446,1.9,2.5,0.759,0.5,2.3,2.8,2.6,0.6,0.0,1.2,1.5,5.5,,UNC Wilmington
12.0,Makoi Mabor,F,9,0,5.6,0.7,1.2,0.545,0.1,0.1,1.0,0.6,1.1,0.5,0.591,0.3,0.4,0.75,0.8,1.1,1.9,0.0,0.4,0.1,0.4,0.3,1.8,,UNC Wilmington
13.0,Shane Anthony,G,5,0,2.6,0.6,1.6,0.375,0.4,0.8,0.5,0.2,0.8,0.25,0.5,0.0,0.0,,0.2,0.2,0.4,0.2,0.0,0.0,0.2,0.4,1.6,,UNC Wilmington
14.0,Kendell Cave,F,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,UNC Wilmington
15.0,JoJo Fullwood,G,6,0,3.0,0.2,0.7,0.25,0.2,0.3,0.5,0.0,0.3,0.0,0.375,0.0,0.0,,0.3,0.0,0.3,0.2,0.3,0.2,0.2,0.2,0.5,,UNC Wilmington
